TitleName,Publisher
Happy Wars - Happy Tickets - Extreme Pack B,Xbox
Happy Wars - Happy Tickets - Starter Pack,Xbox
Happy Wars - Happy Tickets - Value Pack A,Xbox
Happy Wars - Happy Tickets - Value Pack B,Xbox
Hellblade Developer Comp (retail),Xbox
Hellblade for Beta Testing (retail),Xbox
Hellblade: Senua's Sacrifice,Xbox
Hellblade: Senua's Sacrifice Launch,Xbox
Hellblade: Senua's Sacrifice Original Soundtrack,Xbox
Hellblade: Senua's Sacrifice VR Edition,Xbox
Heretic/Hexen Pack,Bethesda
Heretic: Shadow of the Serpent Riders,Bethesda
HeXen II,Bethesda
Hexen: Beyond Heretic,Bethesda
Hexen: Deathkings of the Dark Citadel,Bethesda
Hibiki Digital Deluxe - Beta Comp (retail),Bethesda
Hi-Fi RUSH,Bethesda
Hi-Fi RUSH Deluxe Edition,Bethesda
Hi-Fi RUSH Deluxe Edition PC (Region 3 (Low)) (retail),Bethesda
Hi-Fi RUSH Deluxe Edition PC (WW) (retail),Bethesda
Hi-Fi RUSH Deluxe Edition Upgrade Pack,Bethesda
Hi-Fi RUSH Original Game Soundtrack,Bethesda
Hi-Fi RUSH: Bossplay Costume Pack,Bethesda
Hi-Fi RUSH: Traditional Garb Costume Pack,Bethesda
Horizon Racing Car Pack,Xbox
Hunted: The Demon's Forge,Bethesda
Indie Pack - Winter Sale 2012,Xbox
Indus,Xbox
Insanely Twisted Shadow Planet,Xbox
InXile Comp (retail),Xbox
Iron Brigade,Xbox
Kalimba,Xbox
Kalimba - The Dark Void - Coop,Xbox
Kalimba - The Dark Void - Solo,Xbox
Kalimba - Ultimate Kalimbundle,Xbox
Kalimba - Ultimate Kalimbundle DLC,Xbox
Kickstarter Pillars of Eternity: The White March,Xbox
Killer Instinct,Xbox
Killer Instinct - The Complete Soundtrack,Xbox
Koch Catalog (retail),Xbox
LocoCycle,Xbox
Mark of the Ninja,Xbox
Mark of the Ninja: Special Edition,Xbox
Mark of the Ninja: Special Edition DLC,Xbox
Marvel Pinball Season 1 Bundle,Xbox
Marvel Pinball Season 2 Bundle,Xbox
Max: The Curse of Brotherhood,Xbox
Max: The Curse of Brotherhood Demo,Xbox
MCC - Reach for Beta Testing (retail),Xbox
MGS A C1 for Beta Testing (retail),Xbox
MGS A for Beta Testing (retail),Xbox
MGS B C1 for Beta Testing (retail),Xbox
MGS B for Beta Testing (retail),Xbox
